Decision Tree,Random Forest,SVM (RBF),KNN,Gradient Boosting,Gaussian NB,LDA,QDA,AdaBoost,Extra Trees,Bagging,LightGBM,Ridge LR
0.5614754098360656,0.7143954918032787,0.7182377049180327,0.6800717213114753,0.6936475409836066,0.8114754098360656,0.8078893442622951,0.7884221311475409,0.7932889344262295,0.7359118852459017,0.7520491803278689,0.6910860655737705,0.8201844262295082
0.6731557377049181,0.7571721311475409,0.7402663934426229,0.6355020491803279,0.7520491803278688,0.8007172131147542,0.805327868852459,0.7807377049180327,0.7694672131147542,0.7620389344262295,0.7274590163934426,0.7259221311475409,0.8114754098360656
0.522797131147541,0.6452356557377049,0.6526639344262295,0.6032274590163935,0.6572745901639345,0.7008196721311475,0.7192622950819672,0.6828893442622951,0.7307889344262295,0.6524077868852459,0.6378073770491803,0.6265368852459017,0.7085040983606556
0.5473872950819672,0.6793032786885246,0.7038934426229507,0.5712090163934427,0.7069672131147542,0.7633196721311476,0.8135245901639344,0.7243852459016393,0.7287397540983607,0.6826331967213115,0.6682889344262295,0.6741803278688524,0.7966188524590164
0.6032274590163934,0.673155737704918,0.6664959016393442,0.5576331967213115,0.6331967213114753,0.7197745901639345,0.7418032786885246,0.7136270491803278,0.7374487704918034,0.6593237704918034,0.639344262295082,0.6675204918032787,0.7320696721311475
0.5957991803278688,0.7717725409836066,0.7745901639344264,0.6349897540983607,0.7184938524590164,0.8253073770491803,0.8391393442622951,0.788422131147541,0.7676741803278689,0.7284836065573771,0.7546106557377049,0.7371926229508197,0.8386270491803278
0.5883709016393442,0.7300204918032787,0.7161885245901639,0.664702868852459,0.7003073770491803,0.7638319672131147,0.7863729508196722,0.7607581967213114,0.7184938524590164,0.7505122950819673,0.7161885245901638,0.6516393442622951,0.7776639344262295
0.6360143442622951,0.7366803278688524,0.7407786885245902,0.7407786885245902,0.6762295081967213,0.7540983606557378,0.757172131147541,0.7464139344262295,0.7387295081967213,0.7556352459016393,0.6488217213114754,0.7371926229508197,0.7751024590163935
0.5361168032786885,0.7515368852459017,0.7853483606557377,0.7105532786885246,0.721311475409836,0.7556352459016393,0.7996926229508197,0.7441086065573771,0.7425717213114754,0.7476946721311476,0.7310450819672132,0.735655737704918,0.7797131147540984
0.6352459016393441,0.6872438524590163,0.7120901639344263,0.6675204918032787,0.6798155737704917,0.7423155737704918,0.7402663934426229,0.6793032786885246,0.6974897540983607,0.6598360655737705,0.6872438524590164,0.6675204918032788,0.7710040983606558
0.522797131147541,0.7410348360655737,0.7325819672131147,0.6923668032786885,0.6664959016393442,0.8304303278688524,0.802766393442623,0.7653688524590163,0.7207991803278688,0.7138831967213115,0.6424180327868854,0.6977459016393444,0.8283811475409836
0.6032274590163934,0.7894467213114754,0.7761270491803279,0.6772540983606558,0.6977459016393442,0.8073770491803278,0.8155737704918032,0.7945696721311476,0.7904713114754098,0.7986680327868853,0.7899590163934426,0.7192622950819672,0.8283811475409837
0.6188524590163934,0.7594774590163935,0.7315573770491804,0.7051741803278688,0.7489754098360656,0.7930327868852459,0.7812500000000001,0.7745901639344263,0.7607581967213115,0.7476946721311476,0.7266905737704918,0.7141393442622951,0.7961065573770492
0.5786372950819672,0.6956967213114754,0.6793032786885245,0.6129610655737705,0.6921106557377049,0.7305327868852459,0.6967213114754098,0.7182377049180327,0.7341188524590163,0.6700819672131147,0.6390881147540983,0.7274590163934426,0.733094262295082
0.6032274590163934,0.7118340163934426,0.6987704918032787,0.6209016393442623,0.6885245901639345,0.8114754098360656,0.7474385245901639,0.7694672131147541,0.7126024590163935,0.7161885245901639,0.6980020491803279,0.7197745901639344,0.7817622950819673
0.5786372950819672,0.7054303278688525,0.7156762295081968,0.679047131147541,0.7330942622950819,0.7868852459016393,0.7694672131147541,0.7894467213114754,0.747438524590164,0.7120901639344263,0.7044057377049181,0.7028688524590164,0.788422131147541
0.6672643442622951,0.8002049180327869,0.7745901639344261,0.6626536885245902,0.7612704918032788,0.7704918032786885,0.7484631147540984,0.7756147540983607,0.7692110655737705,0.8014856557377049,0.75,0.7776639344262295,0.764344262295082
0.6055327868852459,0.7307889344262296,0.7243852459016393,0.6895491803278688,0.7397540983606558,0.7412909836065573,0.774077868852459,0.7392418032786885,0.7489754098360656,0.7487192622950819,0.7410348360655737,0.764344262295082,0.7566598360655739
0.600922131147541,0.7133709016393442,0.684938524590164,0.5678790983606558,0.6716188524590164,0.7433401639344264,0.7279713114754098,0.7351434426229508,0.7292520491803278,0.6772540983606556,0.6357581967213115,0.7172131147540983,0.733094262295082
0.5532786885245902,0.7287397540983607,0.6736680327868851,0.6664959016393442,0.7064549180327869,0.757172131147541,0.7551229508196722,0.7535860655737705,0.7182377049180328,0.7310450819672132,0.7074795081967213,0.7243852459016394,0.7622950819672131
0.5763319672131147,0.6316598360655737,0.6521516393442623,0.650358606557377,0.6285860655737705,0.7305327868852459,0.7202868852459017,0.7279713114754098,0.6657274590163934,0.6516393442622951,0.5991290983606556,0.5665983606557377,0.7346311475409837
0.548155737704918,0.7113217213114754,0.7200307377049181,0.616547131147541,0.7182377049180328,0.7689549180327869,0.7756147540983607,0.7269467213114754,0.7256659836065573,0.7233606557377048,0.6636782786885246,0.663422131147541,0.7879098360655737
0.5489241803278688,0.7279713114754099,0.7433401639344263,0.6542008196721312,0.6767418032786885,0.7233606557377049,0.7499999999999999,0.721311475409836,0.7156762295081968,0.7430840163934426,0.7359118852459017,0.6895491803278689,0.7397540983606558
0.554047131147541,0.6985143442622951,0.6769979508196722,0.6506147540983607,0.7120901639344263,0.7566598360655737,0.7494877049180328,0.7602459016393442,0.7320696721311476,0.6805840163934426,0.5694159836065573,0.6823770491803279,0.7387295081967213
0.5689036885245902,0.7123463114754098,0.7448770491803278,0.6303790983606558,0.6905737704918032,0.7827868852459016,0.7786885245901639,0.7510245901639344,0.7289959016393442,0.7087602459016393,0.6454918032786885,0.670594262295082,0.7996926229508197
0.5153688524590164,0.7241290983606556,0.6910860655737705,0.6939036885245902,0.7197745901639344,0.7771516393442623,0.8201844262295083,0.764344262295082,0.7574282786885247,0.7418032786885245,0.6342213114754098,0.7151639344262295,0.8171106557377049
0.6575307377049181,0.7497438524590164,0.7407786885245902,0.6557377049180327,0.7474385245901639,0.7674180327868853,0.7863729508196722,0.7622950819672131,0.7684426229508197,0.7238729508196722,0.7049180327868853,0.7387295081967213,0.7776639344262295
0.5927254098360656,0.6905737704918034,0.6659836065573771,0.6060450819672131,0.6915983606557377,0.6782786885245902,0.7054303278688525,0.7197745901639344,0.6467725409836066,0.6780225409836065,0.6260245901639344,0.6613729508196722,0.6941598360655737
0.5473872950819672,0.7210553278688525,0.7269467213114755,0.679047131147541,0.6839139344262296,0.7033811475409835,0.7064549180327869,0.7156762295081966,0.7192622950819673,0.7031249999999999,0.6964651639344263,0.7494877049180328,0.7049180327868851
0.5704405737704918,0.712858606557377,0.7443647540983607,0.7300204918032787,0.6168032786885246,0.771516393442623,0.788422131147541,0.6997950819672132,0.7128586065573771,0.7207991803278688,0.6047643442622951,0.641905737704918,0.7843237704918034
